市場,證券代號,證券名稱,外資_買進,外資_賣出,外資_買賣超,投信_買進,投信_賣出,投信_買賣超,自營_買進,自營_賣出,自營_買賣超
TPEX,3587,閎康,298000,191000,107000,0,0,0,2701,2189,512
TPEX,3594,磐儀,134000,28000,106000,0,0,0,452,0,452
TPEX,3597,映興,56000,6000,50000,0,0,0,0,0,0
TPEX,3609,三一東林,5000,3000,2000,0,0,0,0,0,0
TPEX,3611,鼎翰,6000,0,6000,0,0,0,1000,1000,0
TPEX,3615,安可,51000,8000,43000,0,0,0,0,0,0
TPEX,3623,富晶通,11000,5000,6000,0,0,0,0,0,0
TPEX,3624,光頡,53000,19000,34000,0,0,0,6218,850,5368
TPEX,3625,西勝,99000,1000,98000,0,0,0,5000,5000,0
TPEX,3628,盈正,0,5000,-5000,0,0,0,0,0,0
TPEX,3630,新鉅科,133000,250000,-117000,0,0,0,65000,0,65000
TPEX,3631,晟楠,165000,12000,153000,0,0,0,0,0,0
TPEX,3646,艾恩特,2000,0,2000,0,0,0,0,0,0
TPEX,3663,鑫科,1180000,617000,563000,0,0,0,24245,5195,19050
TPEX,3664,安瑞-KY,2000,0,2000,0,0,0,1,0,1
TPEX,3666,光耀,2000,0,2000,0,0,0,0,0,0
TPEX,3672,康聯訊,2000,2000,0,0,0,0,0,0,0
TPEX,3675,德微,138000,45000,93000,0,20000,-20000,16382,3000,13382
TPEX,3680,家登,324012,95570,228442,47000,0,47000,21834,20553,1281
TPEX,3685,元創精密,14000,2000,12000,0,0,0,0,0,0
TPEX,3687,歐買尬,103000,30000,73000,0,0,0,1119,495,624
TPEX,3689,湧德,427000,467000,-40000,0,0,0,18114,22269,-4155
TPEX,3691,碩禾,40000,15000,25000,0,0,0,540,11090,-10550
TPEX,3693,營邦,85000,23000,62000,0,0,0,13995,1223,12772
TPEX,3707,漢磊,549000,156000,393000,0,0,0,1320,5080,-3760
TPEX,3709,鑫聯大投控,95000,628000,-533000,0,0,0,7000,1000,6000
TPEX,3710,連展投控,228000,8000,220000,0,0,0,0,0,0
TPEX,3713,新晶投控,1000,0,1000,0,0,0,0,0,0
TPEX,4102,永日,4000,9000,-5000,0,0,0,0,0,0
TPEX,4105,東洋,286000,33000,253000,0,0,0,1,0,1
TPEX,4107,邦特,3000,3000,0,0,0,0,208,0,208
TPEX,4109,加捷生醫,74000,24000,50000,0,0,0,0,0,0
TPEX,4111,濟生,105000,31000,74000,0,0,0,2000,0,2000
TPEX,4113,聯上,49000,41000,8000,0,0,0,0,0,0
TPEX,4114,健喬,216000,44000,172000,0,0,0,0,1000,-1000
TPEX,4116,明基醫,3000,2000,1000,0,0,0,0,0,0
TPEX,4120,友華,3000,3000,0,0,0,0,0,0,0
TPEX,4121,優盛,18000,1000,17000,0,0,0,0,0,0
TPEX,4123,晟德,161000,78000,83000,0,0,0,13096,18200,-5104
TPEX,4126,太醫,15000,3000,12000,0,0,0,0,0,0
TPEX,4127,天良,66000,42000,24000,0,0,0,0,0,0
TPEX,4128,中天,643099,158478,484621,0,0,0,65364,11716,53648
TPEX,4129,聯合,119000,16000,103000,0,0,0,0,0,0
TPEX,4130,健亞,0,4000,-4000,0,0,0,425,1000,-575
TPEX,4138,曜亞,1000,0,1000,0,0,0,0,0,0
TPEX,4139,馬光-KY,1000,2000,-1000,0,0,0,0,0,0
TPEX,4147,中裕,68000,193000,-125000,0,0,0,47000,2344,44656
TPEX,4153,鈺緯,2000,0,2000,0,0,0,0,0,0
TPEX,4157,太景*-KY,117000,12000,105000,0,0,0,1000,1491,-491
TPEX,4160,訊聯基因,2000,1000,1000,0,0,0,0,0,0
TPEX,4161,聿新科,4000,8000,-4000,0,0,0,0,0,0
TPEX,4162,智擎,282402,83000,199402,0,0,0,23195,16139,7056
TPEX,4163,鐿鈦,0,0,0,0,0,0,2000,2000,0
TPEX,4167,松瑞藥,135000,77000,58000,0,0,0,0,201,-201
TPEX,4168,醣聯,3000,6000,-3000,0,0,0,0,0,0
TPEX,4171,瑞基,4000,5000,-1000,0,0,0,0,0,0
TPEX,4173,久裕,205000,37000,168000,0,0,0,1000,0,1000
TPEX,4174,浩鼎,245000,103000,142000,0,0,0,0,0,0
TPEX,4175,杏一,0,1000,-1000,0,0,0,0,0,0
TPEX,4205,中華食,4000,0,4000,0,0,0,0,0,0
TPEX,4207,環泰,15000,8000,7000,0,0,0,0,0,0
TPEX,4303,信立,2945000,2935000,10000,0,0,0,41808,105307,-63499
