code,name,net_foreign,net_investment,net_dealer,net_total
1108,幸福            ,50000.0,0.0,0.0,50000.0
"=""020020""",元大台股領航N   ,0.0,0.0,0.0,0.0
"=""00710B""",復華彭博非投等債,-27000.0,0.0,0.0,-27000.0
2467,志聖            ,52372.0,0.0,0.0,52372.0
2905,三商            ,14000.0,0.0,0.0,14000.0
4739,康普            ,29536.0,0.0,0.0,29536.0
3515,華擎            ,38760.0,0.0,0.0,38760.0
3038,全台            ,51199.0,0.0,-1208.0,49991.0
2243,宏旭-KY         ,43512.0,0.0,0.0,43512.0
1442,名軒            ,50337.0,0.0,0.0,50337.0
6592,和潤企業        ,40278.0,0.0,-1000.0,39278.0
2496,卓越            ,6951.0,0.0,0.0,6951.0
2727,王品            ,52905.0,0.0,0.0,52905.0
2748,雲品            ,48301.0,0.0,0.0,48301.0
2228,劍麟            ,48008.0,0.0,0.0,48008.0
2706,第一店          ,40001.0,0.0,0.0,40001.0
3504,揚明光          ,51010.0,0.0,0.0,51010.0
2524,京城            ,52910.0,0.0,0.0,52910.0
6192,巨路            ,47490.0,0.0,0.0,47490.0
9930,中聯資源        ,38417.0,0.0,0.0,38417.0
6743,安普新          ,46409.0,0.0,0.0,46409.0
"=""00675L""",富邦臺灣加權正2 ,1812000.0,0.0,0.0,1812000.0
2701,萬企            ,42000.0,0.0,0.0,42000.0
2375,凱美            ,26616.0,0.0,0.0,26616.0
2608,嘉里大榮        ,38817.0,0.0,0.0,38817.0
6862,三集瑞-KY       ,44790.0,0.0,0.0,44790.0
6689,伊雲谷          ,42518.0,0.0,0.0,42518.0
6257,矽格            ,40024.0,0.0,0.0,40024.0
6115,鎰勝            ,55000.0,0.0,0.0,55000.0
2887E,台新戊特        ,44000.0,0.0,0.0,44000.0
1773,勝一            ,41385.0,0.0,0.0,41385.0
1598,岱宇            ,68966.0,0.0,0.0,68966.0
8271,宇瞻            ,28864.0,0.0,-2178.0,26686.0
6605,帝寶            ,42468.0,0.0,0.0,42468.0
5533,皇鼎            ,39106.0,0.0,0.0,39106.0
"=""00707R""",期元大S&P日圓反1,0.0,0.0,0.0,0.0
8045,達運光電        ,40748.0,0.0,0.0,40748.0
8438,昶昕            ,42101.0,0.0,0.0,42101.0
1614,三洋電          ,35074.0,0.0,0.0,35074.0
2497,怡利電          ,47473.0,0.0,0.0,47473.0
2015,豐興            ,35025.0,0.0,0.0,35025.0
2611,志信            ,39634.0,0.0,0.0,39634.0
2832,台產            ,1001.0,0.0,0.0,1001.0
1817,凱撒衛          ,36147.0,0.0,0.0,36147.0
9938,百和            ,30004.0,0.0,0.0,30004.0
1447,力鵬            ,24000.0,0.0,0.0,24000.0
9921,巨大            ,82970.0,0.0,-43000.0,39970.0
5269,祥碩            ,-98982.0,0.0,138000.0,39018.0
4137,麗豐-KY         ,38949.0,0.0,0.0,38949.0
2348,海悅            ,40461.0,0.0,0.0,40461.0
1321,大洋            ,34027.0,0.0,0.0,34027.0
6719,力智            ,35782.0,0.0,0.0,35782.0
6285,啟            ,62792.0,0.0,-7000.0,55792.0
6214,精誠            ,39536.0,0.0,0.0,39536.0
2316,楠梓電          ,39004.0,0.0,0.0,39004.0
1527,鑽全            ,28000.0,0.0,0.0,28000.0
"=""020039""",元大加權N       ,0.0,0.0,0.0,0.0
2613,中櫃            ,30401.0,0.0,0.0,30401.0
8070,長華*           ,33291.0,0.0,0.0,33291.0
6931,青松健康        ,37000.0,0.0,0.0,37000.0
1109,信大            ,34000.0,0.0,0.0,34000.0
9946,三發地產        ,41910.0,0.0,0.0,41910.0
6168,宏齊            ,37194.0,0.0,0.0,37194.0
"=""006205""",富邦上証        ,-19000.0,0.0,0.0,-19000.0
1445,大宇            ,33004.0,0.0,0.0,33004.0
